cluster_id	cluster_size	sample	background	enrichment_pvalue_zbinom	enrichment_fdr_zbinom	log_fold_change	vdjdb	method	log10_pval	significant	label
0	44	27	17	0.0274984947009591	0.2171159278668341	0.182880957124842	True	dbscan	1.560691077716219	False	vdjdb
1	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
2	74	44	30	0.0228346594577992	0.1810235488766323	0.1482975361155092	False	dbscan	1.641405458910117	False	no
3	6	4	2	0.184697357672078	0.577852023925714	0.282996109908998	False	dbscan	0.7335393174087805	False	no
4	8	5	3	0.289576325374332	0.577852023925714	0.2038148639120408	False	dbscan	0.5382369470886423	False	no
5	8	8	0	0.0	0.0	9.88505610139982	False	dbscan	10.0	True	sign
6	20	14	6	0.0019536485671078	0.020547097112788	0.3499428996068234	False	dbscan	2.709153534606651	True	sign
7	6	3	3	0.9426590447322928	0.9533072890071262	-0.0180338856464095	False	dbscan	0.025645361052359813	False	no
8	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
9	21	11	10	0.858399744993712	0.9533072890071262	0.0233587995078674	False	dbscan	0.06631042000810106	False	no
10	4	3	1	0.0551898422586101	0.2792761137664801	0.4590873687837232	False	dbscan	1.2581408464290929	False	no
11	5	2	3	0.5238525698618455	0.6198088585013867	-0.1941251446297084	False	dbscan	0.2807909211480187	False	no
12	4	2	2	0.9531679471538768	0.9533072890071262	-0.0180338856464095	False	dbscan	0.020830570359175883	False	no
13	6	4	2	0.184697357672078	0.577852023925714	0.282996109908998	False	dbscan	0.7335393174087805	False	no
14	4	2	2	0.9531679471538768	0.9533072890071262	-0.0180338856464095	False	dbscan	0.020830570359175883	False	no
15	4	2	2	0.9531679471538768	0.9533072890071262	-0.0180338856464095	False	dbscan	0.020830570359175883	False	no
16	7	4	3	0.6216157912186258	0.7124785450866524	0.1069048509256991	False	dbscan	0.206477961395961	False	no
17	4	3	1	0.0551898422586101	0.2792761137664801	0.4590873687837232	False	dbscan	1.2581408464290929	False	no
18	4	2	2	0.9531679471538768	0.9533072890071262	-0.0180338856464095	False	dbscan	0.020830570359175883	False	no
19	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
20	108	62	46	0.0424461476346191	0.2792761137664801	0.1115999721678338	False	dbscan	1.3721617186948012	False	no
21	491	314	177	0.0	0.0	0.2309224960639282	False	dbscan	10.0	True	sign
22	4	2	2	0.9531679471538768	0.9533072890071262	-0.0180338856464095	False	dbscan	0.020830570359175883	False	no
23	10	2	8	0.0281477055867094	0.2217300262193121	-0.6200938768115115	False	dbscan	1.5505569986175816	False	no
24	5	3	2	0.526178447734569	0.6198088585013867	0.1580573733368892	True	dbscan	0.27886694450232785	False	vdjdb
25	6	5	1	0.0001060634727438	0.0011934757381205	0.6809361183421736	False	dbscan	3.9744337477927516	True	sign
26	6	4	2	0.184697357672078	0.577852023925714	0.282996109908998	False	dbscan	0.7335393174087805	False	no
27	294	192	102	0.0	0.0	0.2566671712932266	False	dbscan	10.0	True	sign
