sample_x	sample_y	donor_x	donor_y	n_input_rows_x	n_input_rows_y	n_matched_query_rows_x_in_y	n_unique_query_target_pairs	share_x_in_y
P1_15_F1	P1_15_F1	P1	P1	311112	311112	311112	311112	1.0
P1_15_F1	P2_15_F1	P1	P2	311112	362331	36027	89484	0.11580074056931267
P1_15_F1	Q1_15_F1	P1	Q1	311112	86750	14351	23904	0.04612808249119288
P1_15_F1	Q2_15_F1	P1	Q2	311112	205818	24688	49613	0.07935405898840289
P1_15_F1	S1_15_F1	P1	S1	311112	139748	19932	39894	0.06406695980868626
P1_15_F1	S2_15_F1	P1	S2	311112	276172	27812	62326	0.08939545887011752
P2_15_F1	P1_15_F1	P2	P1	362331	311112	38791	89484	0.10705956708092876
P2_15_F1	P2_15_F1	P2	P2	362331	362331	362331	362331	1.0
P2_15_F1	Q1_15_F1	P2	Q1	362331	86750	16978	28377	0.0468577074553378
P2_15_F1	Q2_15_F1	P2	Q2	362331	205818	29100	58569	0.08031330468549476
P2_15_F1	S1_15_F1	P2	S1	362331	139748	23754	47313	0.0655588398453348
P2_15_F1	S2_15_F1	P2	S2	362331	276172	33091	74058	0.09132809502913082
Q1_15_F1	P1_15_F1	Q1	P1	86750	311112	9372	23904	0.10803458213256484
Q1_15_F1	P2_15_F1	Q1	P2	86750	362331	10215	28377	0.1177521613832853
Q1_15_F1	Q1_15_F1	Q1	Q1	86750	86750	86750	86750	1.0
Q1_15_F1	Q2_15_F1	Q1	Q2	86750	205818	8325	18781	0.09596541786743516
Q1_15_F1	S1_15_F1	Q1	S1	86750	139748	6427	14488	0.0740864553314121
Q1_15_F1	S2_15_F1	Q1	S2	86750	276172	8959	22542	0.10327377521613833
Q2_15_F1	P1_15_F1	Q2	P1	205818	311112	21269	49613	0.10333887220748428
Q2_15_F1	P2_15_F1	Q2	P2	205818	362331	23124	58569	0.11235168935661603
Q2_15_F1	Q1_15_F1	Q2	Q1	205818	86750	10985	18781	0.05337239697208213
Q2_15_F1	Q2_15_F1	Q2	Q2	205818	205818	205818	205818	1.0
Q2_15_F1	S1_15_F1	Q2	S1	205818	139748	14495	29558	0.07042629896316163
Q2_15_F1	S2_15_F1	Q2	S2	205818	276172	20047	45983	0.09740158781058994
S1_15_F1	P1_15_F1	S1	P1	139748	311112	15957	39894	0.11418410281363597
S1_15_F1	P2_15_F1	S1	P2	139748	362331	17421	47313	0.12466010247016057
S1_15_F1	Q1_15_F1	S1	Q1	139748	86750	8040	14488	0.05753212926124166
S1_15_F1	Q2_15_F1	S1	Q2	139748	205818	13568	29558	0.09708904599708046
S1_15_F1	S1_15_F1	S1	S1	139748	139748	139748	139748	1.0
S1_15_F1	S2_15_F1	S1	S2	139748	276172	17179	43598	0.12292841400234708
S2_15_F1	P1_15_F1	S2	P1	276172	311112	27079	62326	0.09805121446055357
S2_15_F1	P2_15_F1	S2	P2	276172	362331	29865	74058	0.10813913068667352
S2_15_F1	Q1_15_F1	S2	Q1	276172	86750	13300	22542	0.04815839404429124
S2_15_F1	Q2_15_F1	S2	Q2	276172	205818	22808	45983	0.08258621438813493
S2_15_F1	S1_15_F1	S2	S1	276172	139748	21091	43598	0.07636907434497342
S2_15_F1	S2_15_F1	S2	S2	276172	276172	276172	276172	1.0
